date, pm25, pm10, o3, no2, so2, co
2024/11/1, 57, 25, 24, 11, , 
2024/11/2, 55, 27, 24, 10, , 
2024/11/3, 58, 28, 24, 12, , 
2024/11/4, 57, 30, 12, , , 
2024/11/5, 61, 27, 22, , , 
2024/11/6, 54, 22, 20, 18, , 
2024/11/7, 48, 22, 17, 17, , 
2024/11/8, 48, 22, 19, 15, , 
2024/11/9, 56, 19, 15, 8, , 
2024/11/10, 52, 13, 16, 5, , 
2024/11/11, 38, , , , , 
2024/10/1, 30, 20, 23, 14, , 
2024/10/2, 39, 13, 25, 11, , 
2024/10/3, 26, 12, 25, 14, , 
2024/10/4, 28, 15, 34, 15, , 
2024/10/5, 32, 13, 23, 19, 1, 
2024/10/6, 32, 24, 23, 18, , 
2024/10/7, 54, 22, 23, 9, , 
2024/10/8, 43, 20, 31, 12, , 
2024/10/9, 34, 17, 28, 11, , 
2024/10/10, 29, 13, 20, 19, , 
2024/10/11, 27, 17, 24, 20, , 
2024/10/12, 42, 16, 28, 10, , 
2024/10/13, 44, 21, 23, 15, , 
2024/10/14, 53, 21, 22, 12, , 
2024/10/15, 44, 43, 26, 17, , 
2024/10/16, 62, 28, 24, 16, , 
2024/10/17, 49, 14, 22, 9, , 
2024/10/18, 23, 15, 22, 13, , 
2024/10/19, 26, 16, 19, 18, , 
2024/10/20, 35, 17, 24, 16, , 
2024/10/21, 35, 18, 22, 14, , 
2024/10/22, 38, 20, 18, 19, 1, 
2024/10/23, 43, 26, 21, 25, 1, 
2024/10/24, 58, 27, 19, 22, 1, 
2024/10/25, 55, 16, 20, 14, , 
2024/10/26, 36, 10, 27, 9, , 
2024/10/27, 25, 16, 26, 15, , 
2024/10/28, 40, 20, 24, 13, , 
2024/10/29, 42, 24, 29, 11, , 
2024/10/30, 46, 24, 20, 14, , 
2024/10/31, 52, 26, 22, 11, , 
2024/7/1, 36, 19, 22, 14, , 
2024/7/2, 38, 18, 29, 11, , 
2024/7/3, 39, 18, 29, 14, , 
2024/7/4, 41, 17, 23, 11, , 
2024/7/5, 38, 15, 30, 10, , 
2024/7/6, 33, 13, 26, 7, , 
2024/7/7, 30, 20, 22, 10, , 
2024/7/8, 35, 22, 24, 13, , 
2024/7/9, 38, 29, 25, 17, , 
2024/7/10, 45, 34, 24, 18, , 
2024/7/11, 59, 32, 21, 13, , 
2024/7/12, 55, 20, 23, 9, , 
2024/7/13, 38, 17, 27, 6, , 
2024/7/14, 33, 26, 22, 9, , 
2024/7/15, 52, 24, 24, 13, , 
2024/7/16, 53, 19, 29, 17, , 
2024/7/17, 38, 25, 24, 13, , 
2024/7/18, 41, 23, 28, 13, , 
2024/7/19, 40, 20, 32, 8, , 
2024/7/20, 36, 29, 32, 9, , 
2024/7/21, 49, 24, 26, 10, 1, 
2024/7/22, 36, 21, 28, 14, 1, 
2024/7/23, 34, 25, 16, 17, 1, 
2024/7/24, 44, 20, 26, 11, 1, 
2024/7/25, 31, 23, 28, 14, 1, 
2024/7/26, 38, 18, 31, 13, 1, 
2024/7/27, 31, 17, 32, 6, , 
2024/7/28, 38, 25, 27, 22, 1, 
2024/7/29, 48, 36, 29, 21, 1, 
2024/7/30, 54, 42, 33, 23, , 
2024/7/31, 57, 36, 35, 18, , 
2024/8/1, 60, 39, 39, 13, , 
2024/8/2, 67, 28, 37, 8, , 
2024/8/3, 48, 22, 38, 8, , 
2024/8/4, 44, 23, 33, 8, , 
2024/8/5, 47, 22, 32, 11, , 
2024/8/7, 43, 22, 28, 15, , 
2024/8/8, 46, 23, 34, 18, , 
2024/8/9, 45, 21, 38, 12, , 
2024/8/10, 39, 19, 37, 6, , 
2024/8/11, 40, 17, 31, 9, , 
2024/8/12, 41, 21, 31, 11, , 
2024/8/13, 50, 22, 36, 11, , 
2024/8/14, 43, 14, 31, 7, , 
2024/8/15, 29, 13, 30, 11, , 
2024/8/16, 28, 17, 37, 7, , 
2024/8/17, 36, 15, 32, 7, , 
2024/8/18, 34, 15, 29, 9, , 
2024/8/19, 35, 23, 37, 8, 1, 
2024/8/20, 59, 34, 34, 10, 1, 
2024/8/21, 81, 33, 36, 7, 1, 
2024/8/22, 79, 36, 37, 8, 1, 
2024/8/23, 83, 30, 35, 8, 1, 
2024/8/24, 76, 21, 31, 7, 1, 
2024/8/25, 59, 16, 29, 9, 1, 
2024/8/26, 34, 19, 30, 7, 1, 
2024/8/27, 37, 21, 33, 11, 1, 
2024/8/28, 40, 19, 35, 8, 1, 
2024/8/29, 42, 20, 26, 14, 1, 
2024/8/30, 50, 19, 36, 10, , 
2024/8/31, 43, 19, 36, 7, , 
2024/9/1, 48, 19, 28, 15, , 
2024/9/2, 45, 23, 25, 18, , 
2024/9/3, 48, 21, 25, 15, , 
2024/9/4, 49, 13, 24, 11, , 
2024/9/5, 29, 13, 28, 12, , 
2024/9/6, 27, 21, 34, 10, , 
2024/9/7, 39, 17, 31, 10, , 
2024/9/8, 38, 11, 29, 14, , 
2024/9/9, 24, 17, 29, 14, , 
2024/9/10, 33, 20, 27, 9, , 
2024/9/11, 40, 20, 21, 14, , 
2024/9/12, 42, 17, 29, 15, , 
2024/9/13, 35, 14, 31, 12, , 
2024/9/14, 26, 15, 36, 13, 1, 
2024/9/15, 23, 21, 27, 23, 1, 
2024/9/16, 28, 26, 26, 21, 1, 
2024/9/17, 38, 16, 26, 15, 1, 
2024/9/18, 31, 14, 24, 21, 1, 
2024/9/19, 29, 12, 29, 19, , 
2024/9/20, 31, 12, 31, 13, 1, 
2024/9/21, 34, 11, 25, 14, 1, 
2024/9/22, 37, 15, 28, 18, , 
2024/9/23, 38, 17, 37, 11, , 
2024/9/24, 46, 20, 37, 17, , 
2024/9/25, 51, 25, 32, 16, , 
2024/9/26, 50, 21, 28, 12, , 
2024/9/27, 35, 13, 28, 9, , 
2024/9/28, 21, 10, 32, 7, , 
2024/9/29, 19, 14, 30, 14, , 
2024/9/30, 27, 19, 29, 12, 1, 
2024/4/1, 18, 10, 30, 13, , 
2024/4/2, 15, 17, 31, 23, , 
2024/4/3, 30, 25, 28, 24, , 
2024/4/4, 53, 23, 26, 24, , 
2024/4/5, 53, 20, 36, 15, , 
2024/4/6, 42, 24, 36, 14, , 
2024/4/7, 51, 34, 26, 20, , 
2024/4/8, 59, 30, 30, 11, , 
2024/4/9, 44, 17, 27, 14, , 
2024/4/10, 27, 22, 31, 21, , 
2024/4/11, 34, 36, 30, 38, , 
2024/4/12, 57, 38, 40, 32, , 
2024/4/13, 64, 38, 40, 24, , 
2024/4/14, 72, 43, 30, 29, 1, 
2024/4/15, 71, 31, 31, 14, , 
2024/4/16, 47, 23, 30, 12, , 
2024/4/17, 36, 19, 30, 12, , 
2024/4/18, 30, 31, 34, 13, , 
2024/4/19, 36, 24, 34, 15, , 
2024/4/20, 38, 21, 32, 10, , 
2024/4/21, 36, 17, 29, 15, , 
2024/4/22, 32, 14, 28, 16, , 
2024/4/23, 30, 17, 35, 15, , 
2024/4/24, 32, 18, 31, 14, , 
2024/4/25, 35, 15, 30, 18, , 
2024/4/26, 35, 20, 37, 15, , 
2024/4/27, 50, 21, 32, 15, , 
2024/4/28, 51, 17, 31, 19, , 
2024/4/29, 44, 16, 31, 17, , 
2024/4/30, 41, 18, 32, 14, , 
2024/5/1, 53, 15, 31, 9, , 
2024/5/2, 25, 17, 34, 18, 1, 
2024/5/3, 24, 17, 38, 17, , 
2024/5/4, 32, 18, 31, 21, , 
2024/5/5, 46, 19, 31, 13, , 
2024/5/6, 49, 14, 32, 14, , 
2024/5/7, 27, 19, 30, 16, , 
2024/5/8, 25, 17, 35, 19, , 
2024/5/9, 24, 23, 33, 24, , 
2024/5/10, 43, 21, 37, 18, , 
2024/5/11, 42, 21, 30, 28, 1, 
2024/5/12, 56, 17, 32, 19, , 
2024/5/13, 41, 16, 36, 12, , 
2024/5/14, 42, 12, 24, 18, , 
2024/5/15, 24, 12, 24, 19, , 
2024/5/16, 25, 17, 24, 19, , 
2024/5/17, 42, 22, 29, 12, , 
2024/5/18, 57, 14, 25, 10, , 
2024/5/19, 39, 13, 32, 11, , 
2024/5/20, 35, 15, 30, 13, , 
2024/5/21, 32, 15, 32, 12, , 
2024/5/22, 31, 12, 30, 12, , 
2024/5/23, 29, 11, 29, 12, , 
2024/5/24, 23, 13, 32, 14, , 
2024/5/25, 28, 15, 29, 12, , 
2024/5/26, 38, 17, 27, 10, , 
2024/5/27, 37, 25, 27, 13, , 
2024/5/28, 41, 26, 28, 13, , 
2024/5/29, 46, 23, 28, 12, , 
2024/5/30, 43, 20, 25, 9, , 
2024/5/31, 31, , , , , 
2024/6/3, 29, 13, 30, 9, 1, 
2024/6/4, 23, 18, 30, 9, 1, 
2024/6/5, 28, 22, 34, 16, , 
2024/6/6, 34, 23, 31, 20, 1, 
2024/6/7, 40, 28, 36, 11, 1, 
2024/6/8, 45, 28, 32, 12, 1, 
2024/6/9, 49, 22, 22, 12, 1, 
2024/6/10, 46, 18, 22, 13, 1, 
2024/6/11, 41, 13, 23, 13, , 
2024/6/12, 31, 12, 30, 9, 1, 
2024/6/13, 21, 18, 29, 11, 1, 
2024/6/14, 41, 18, 27, 10, , 
2024/6/15, 44, 13, 23, 12, 1, 
2024/6/16, 29, 20, 26, 13, 1, 
2024/6/17, 47, 32, 30, 10, 1, 
2024/6/18, 57, 34, 27, 12, 1, 
2024/6/19, 62, 43, 30, 14, , 
2024/6/20, 66, 35, 35, 12, 1, 
2024/6/21, 57, 14, 34, 10, 1, 
2024/6/22, 29, 18, 27, 10, 1, 
2024/6/23, 43, 25, 26, 6, 1, 
2024/6/24, 68, 20, 28, 9, 1, 
2024/6/25, 34, 17, 29, 11, 1, 
2024/6/26, 28, 18, 33, 16, 1, 
2024/6/27, 30, 21, 35, 21, 1, 
2024/6/28, 41, 18, 37, 8, 1, 
2024/6/29, 31, 16, 29, 6, , 
2024/6/30, 32, 19, 26, 15, 1, 
2024/1/1, 72, 37, 10, 26, , 
2024/1/2, 55, 45, 9, 25, , 
2024/1/3, 50, 40, 5, 29, , 
2024/1/4, 58, 29, , 21, , 
2024/1/5, 58, 12, , 8, , 
2024/1/6, 28, 8, , 7, , 
2024/1/7, 12, 11, , 18, , 
2024/1/8, 15, 22, 12, 22, 1, 
2024/1/9, 41, 21, 10, 24, 1, 
2024/1/10, 53, 18, 8, 16, 1, 
2024/1/11, 52, 20, 11, 11, 1, 
2024/1/12, 48, 20, 13, 17, 1, 
2024/1/13, 56, 20, 17, 12, 1, 
2024/1/14, 51, 21, 17, 15, 1, 
2024/1/15, 47, 37, 8, 25, 1, 
2024/1/16, 67, 35, 17, 20, 1, 
